City	Rank	Year	Cost_of_Living_Index	Rent_Index	Cost_of_Living_Plus_Rent_Index	Groceries_Index	Restaurant_Price_Index	Local_Purchasing_Power_Index	Unemployment_Rate
"Hartford, CT"	52	2016	75.77	37.56	57.41	80.45	71.41	172.8	5.2
"Hartford, CT"	40	2017	80.07	42.11	61.88	80.68	82.9	107.34	4.7
"Houston, TX"	18	2014	86.52	50.96	69.24	84.33	75.09	120.57	4.9
"Houston, TX"	9	2015	89.86	50.68	70.71	88.1	83.3	121.27	4.6
"Houston, TX"	55	2016	75.19	45.62	60.98	77.34	68.85	138.45	5.3
"Houston, TX"	62	2017	75.4	45.59	61.11	73.66	77.51	150.24	5
"Kansas City, MO"	47	2014	72.51	26.26	50.04	78.54	68.9	154.13	5.6
"Kansas City, MO"	44	2015	76.11	27.76	52.48	86.28	69.34	120.25	4.8
"Kansas City, MO"	84	2016	67.52	28.77	48.9	66.95	65.32	154.44	4.3
"Kansas City, MO"	99	2017	69.09	29	49.88	66.65	70.36	156.57	3.8
"Minneapolis, MN"	13	2014	89.18	40.66	65.61	97.68	73.91	114.6	4
"Minneapolis, MN"	27	2015	80.56	38.68	60.09	90.85	73.1	122.07	3.4
"Minneapolis, MN"	22	2016	81.06	44.38	63.43	90.16	68.46	142.26	3.5
"Minneapolis, MN"	25	2017	82.92	41.16	62.91	90.3	73.62	119.76	3.2
"Nashville, TN"	51	2014	71.4	36.71	54.54	74.8	62.77	159.1	5.2
"Nashville, TN"	83	2016	67.82	43.28	56.02	62.76	72.11	166.17	3.7
"Nashville, TN"	55	2017	76.43	45.79	61.75	77.32	74.26	127.93	2.9
"New York, NY"	3	2014	100	100	100	100	100	100	6.5
"New York, NY"	2	2015	100	100	100	100	100	100	5.3
"New York, NY"	2	2016	100	100	100	100	100	100	4.8
"New York, NY"	1	2017	100	100	100	100	100	100	4.5
"Philadelphia, PA"	12	2014	90.09	49.73	70.48	104.47	76.18	122.61	6.2
"Philadelphia, PA"	14	2015	88.57	52.9	71.14	100.58	71.78	109.99	5.4
"Philadelphia, PA"	16	2016	83.57	46.98	65.98	89.56	74.61	108.23	5.1
"Philadelphia, PA"	17	2017	86.35	51.39	69.59	89.52	76.21	129.65	4.7
"San Antonio, TX"	52	2014	71.19	34.03	53.13	72.7	64.98	132.14	4.6
"San Antonio, TX"	52	2015	73.73	33.5	54.07	75.34	64.2	138.5	3.8
"San Antonio, TX"	93	2016	63.57	31.83	48.32	66.45	56.4	146.79	3.8
"San Antonio, TX"	109	2017	62.5	35.03	49.33	60.74	59.96	136.57	3.5
"San Francisco, CA"	5	2014	93.66	94.98	94.3	109.18	87.15	103.91	5.2
"San Francisco, CA"	4	2015	97	96.07	96.54	111.86	99.17	116.72	4.2
"San Francisco, CA"	1	2016	103.36	121.64	112.15	122.07	90.89	105.83	3.8
"San Francisco, CA"	3	2017	99.14	125.79	111.92	110.16	91.99	96.76	3.3
"San Jose, CA"	15	2014	87.39	72.12	79.97	96.06	76.2	129.95	5.3
"San Jose, CA"	18	2015	85.87	77.57	81.82	96.48	72.08	143.23	4.3
"San Jose, CA"	43	2016	77.11	80.71	78.84	81	70.26	169.92	3.9
"San Jose, CA"	27	2017	82.75	85.35	83.99	84.96	79.15	152.9	3.3
"Salt Lake City, UT"	48	2014	72.01	29.92	51.56	71.87	62.84	139.88	3.7
"Salt Lake City, UT"	62	2015	69.71	31.07	50.83	67.73	65.21	137.61	3.4
"Salt Lake City, UT"	85	2016	67.4	32.53	50.64	68.65	62.93	186.73	3.2
"Salt Lake City, UT"	101	2017	68.46	34.68	52.27	66.1	71.06	152.54	3.1
"Seattle, WA"	9	2014	91.63	55.05	73.86	100.43	81.7	115.27	5.3
"Seattle, WA"	7	2015	90.71	59.12	75.27	100.71	82.07	124.49	4.8
"Seattle, WA"	17	2016	83.22	59.97	72.05	83.63	80.14	147.45	4.4
"Seattle, WA"	10	2017	90.54	65.77	78.67	93.9	79.85	119.76	4.1
"Washington, DC"	2	2014	100.38	71.5	86.35	103.04	94.95	106.57	5.1
"Washington, DC"	6	2015	96.02	69.88	83.25	94.01	96.31	130.91	4.4
"Washington, DC"	4	2016	96.18	72.17	84.64	89.47	90.03	119.13	3.9
"Washington, DC"	5	2017	95.34	80.69	88.32	91.28	89.65	110.15	3.7
